iter	Passed	Remaining
0	157	153140
1	174	84865
2	188	60877
3	200	48519
4	212	41160
5	226	36532
6	240	33187
7	252	30493
8	262	28162
9	277	26716
10	292	25591
11	305	24515
12	317	23481
13	328	22544
14	344	22002
15	360	21571
16	372	20973
17	383	20375
18	395	19877
19	407	19416
20	418	18979
21	433	18763
22	448	18555
23	461	18266
24	474	18010
25	487	17760
26	513	17995
27	526	17783
28	540	17610
29	552	17394
30	567	17265
31	581	17108
32	593	16910
33	603	16697
34	616	16541
35	628	16364
36	640	16219
37	652	16066
38	665	15959
39	679	15876
40	694	15808
41	710	15767
42	725	15700
43	738	15617
44	751	15515
45	763	15407
46	775	15291
47	794	15326
48	811	15322
49	831	15368
50	844	15289
51	856	15186
52	872	15167
53	886	15108
54	899	15037
55	912	14951
56	922	14841
57	933	14741
58	946	14675
59	957	14580
60	966	14463
61	976	14361
62	986	14260
63	995	14148
64	1006	14081
65	1019	14022
66	1029	13933
67	1039	13845
68	1050	13784
69	1061	13712
70	1070	13613
71	1081	13543
72	1090	13464
73	1100	13389
74	1114	13354
75	1126	13309
76	1138	13263
77	1153	13246
78	1163	13178
79	1173	13112
80	1183	13047
81	1195	13007
82	1208	12976
83	1222	12950
84	1233	12904
85	1243	12843
86	1257	12818
87	1270	12793
88	1292	12853
89	1306	12832
90	1318	12793
91	1331	12766
92	1343	12731
93	1356	12699
94	1371	12688
95	1387	12689
96	1409	12743
97	1424	12730
98	1443	12758
99	1460	12765
100	1475	12755
101	1488	12728
102	1499	12677
103	1508	12615
104	1520	12584
105	1532	12548
106	1549	12551
107	1561	12518
108	1575	12499
109	1588	12476
110	1604	12471
111	1618	12459
112	1633	12444
113	1650	12448
114	1664	12436
115	1684	12460
116	1697	12434
117	1708	12392
118	1720	12364
119	1735	12351
120	1752	12352
121	1768	12347
122	1785	12353
123	1801	12346
124	1818	12353
125	1833	12342
126	1844	12299
127	1854	12259
128	1870	12251
129	1882	12219
130	1892	12176
131	1902	12135
132	1910	12082
133	1918	12028
134	1928	11986
135	1937	11938
136	1946	11892
137	1955	11846
138	1963	11793
139	1971	11746
140	1980	11699
141	1989	11657
142	1999	11620
143	2008	11579
144	2017	11533
145	2027	11495
146	2036	11454
147	2045	11414
148	2054	11377
149	2064	11341
150	2073	11300
151	2083	11268
152	2096	11252
153	2108	11225
154	2116	11184
155	2126	11150
156	2134	11108
157	2143	11068
158	2151	11029
159	2160	10989
160	2167	10946
161	2176	10907
162	2185	10871
163	2193	10834
164	2202	10800
165	2211	10765
166	2220	10728
167	2228	10690
168	2237	10656
169	2245	10621
170	2254	10587
171	2263	10555
172	2273	10524
173	2282	10492
174	2291	10460
175	2299	10426
176	2308	10395
177	2317	10362
178	2325	10329
179	2333	10294
180	2342	10262
181	2351	10234
182	2360	10202
183	2369	10174
184	2378	10144
185	2388	10116
186	2397	10088
187	2405	10058
188	2416	10034
189	2424	10005
190	2432	9972
191	2442	9946
192	2451	9919
193	2461	9898
194	2470	9869
195	2480	9845
196	2488	9815
197	2498	9790
198	2507	9766
199	2518	9747
200	2528	9725
201	2538	9701
202	2547	9673
203	2556	9649
204	2565	9624
205	2575	9602
206	2584	9575
207	2593	9551
208	2603	9529
209	2612	9504
210	2621	9479
211	2630	9456
212	2640	9434
213	2651	9416
214	2661	9396
215	2671	9376
216	2680	9350
217	2690	9330
218	2698	9304
219	2707	9278
220	2715	9252
221	2724	9228
222	2734	9208
223	2743	9184
224	2752	9163
225	2762	9141
226	2771	9121
227	2781	9100
228	2790	9077
229	2799	9055
230	2808	9034
231	2818	9013
232	2827	8991
233	2835	8966
234	2844	8943
235	2853	8922
236	2862	8900
237	2870	8877
238	2878	8851
239	2887	8829
240	2895	8805
241	2904	8784
242	2912	8760
243	2920	8738
244	2929	8716
245	2936	8690
246	2945	8668
247	2952	8643
248	2961	8623
249	2970	8603
250	2980	8586
251	2991	8570
252	3002	8556
253	3012	8539
254	3024	8526
255	3033	8507
256	3043	8490
257	3052	8471
258	3061	8452
259	3071	8433
260	3079	8413
261	3089	8395
262	3098	8376
263	3106	8355
264	3115	8335
265	3125	8317
266	3134	8299
267	3144	8283
268	3154	8266
269	3164	8250
270	3173	8232
271	3185	8221
272	3196	8207
273	3206	8191
274	3220	8187
275	3228	8164
276	3236	8143
277	3244	8123
278	3253	8103
279	3262	8086
280	3270	8065
281	3279	8047
282	3288	8029
283	3299	8015
284	3309	8000
285	3319	7984
286	3327	7966
287	3335	7944
288	3343	7925
289	3352	7907
290	3361	7890
291	3371	7873
292	3380	7857
293	3389	7839
294	3398	7822
295	3407	7805
296	3415	7785
297	3426	7772
298	3435	7755
299	3444	7739
300	3454	7723
301	3462	7704
302	3471	7688
303	3482	7674
304	3489	7654
305	3499	7638
306	3507	7621
307	3516	7603
308	3525	7586
309	3534	7569
310	3543	7553
311	3552	7537
312	3561	7521
313	3570	7505
314	3581	7492
315	3590	7476
316	3599	7459
317	3608	7443
318	3618	7429
319	3627	7414
320	3637	7399
321	3648	7387
322	3658	7374
323	3670	7364
324	3681	7351
325	3692	7339
326	3705	7330
327	3726	7338
328	3739	7330
329	3752	7322
330	3763	7311
331	3776	7303
332	3787	7291
333	3796	7274
334	3805	7258
335	3816	7247
336	3831	7242
337	3842	7231
338	3855	7221
339	3868	7213
340	3879	7202
341	3893	7195
342	3905	7185
343	3916	7172
344	3928	7162
345	3937	7147
346	3947	7132
347	3957	7118
348	3972	7114
349	3986	7107
350	3999	7098
351	4010	7086
352	4024	7079
353	4040	7076
354	4054	7070
355	4069	7064
356	4084	7058
357	4098	7051
358	4114	7048
359	4128	7042
360	4141	7033
361	4152	7020
362	4178	7033
363	4191	7024
364	4207	7019
365	4226	7021
366	4240	7014
367	4252	7002
368	4265	6993
369	4276	6980
370	4287	6968
371	4298	6956
372	4309	6944
373	4320	6931
374	4331	6918
375	4341	6904
376	4351	6890
377	4361	6876
378	4374	6867
379	4386	6856
380	4396	6843
381	4408	6832
382	4419	6819
383	4431	6808
384	4444	6799
385	4456	6788
386	4466	6775
387	4478	6763
388	4489	6751
389	4499	6738
390	4513	6729
391	4523	6716
392	4534	6703
393	4544	6689
394	4556	6678
395	4567	6667
396	4577	6653
397	4588	6640
398	4599	6628
399	4609	6614
400	4618	6599
401	4627	6584
402	4638	6571
403	4647	6557
404	4658	6544
405	4668	6531
406	4678	6517
407	4687	6503
408	4697	6489
409	4709	6477
410	4721	6467
411	4732	6454
412	4742	6441
413	4753	6429
414	4763	6416
415	4777	6408
416	4787	6395
417	4798	6382
418	4807	6367
419	4819	6356
420	4831	6345
421	4841	6333
422	4851	6319
423	4862	6307
424	4872	6294
425	4881	6279
426	4891	6266
427	4900	6251
428	4910	6238
429	4920	6225
430	4931	6213
431	4943	6202
432	4954	6190
433	4964	6176
434	4975	6164
435	4987	6154
436	4998	6142
437	5008	6128
438	5017	6115
439	5028	6102
440	5038	6089
441	5050	6078
442	5064	6070
443	5073	6056
444	5084	6043
445	5093	6029
